Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
43646,0.98,-1.04,1.4,-0.08,0.87,0.46,Correct
44000,0.06,-0.79,1.22,0.13,0.97,-0.04,Wrong
44222,0.61,-0.55,1.53,0.12,0.14,0.99,Wrong
44541,0.92,-0.12,1.46,0.12,0.44,0.9,Correct
44646,0.92,-0.43,1.46,-0.08,0.87,0.47,Correct
45000,1.04,0,1.53,0.13,0.98,-0.06,Wrong
45222,0.73,-0.61,1.46,0.12,0.14,0.99,Wrong
45541,0.79,-0.61,1.65,0.13,0.43,0.89,Correct
45646,0.85,-0.55,1.83,-0.08,0.87,0.47,Correct
46000,1.28,-1.22,0.98,0.13,0.96,-0.04,Wrong
46222,0.85,-0.85,1.65,0.12,0.14,0.99,Wrong
46541,0.79,-0.61,1.65,0.12,0.43,0.89,Correct
46646,0.67,-1.16,1.89,-0.08,0.87,0.47,Correct
47000,1.16,-0.92,0.92,0.11,0.97,-0.05,Wrong
47222,0.67,-0.67,1.4,0.12,0.14,0.99,Wrong
47541,0.79,-0.92,1.46,0.13,0.43,0.89,Correct
47646,0.43,15.56,1.28,-0.08,0.87,0.46,Correct
48000,0.43,0.43,1.77,0.13,0.97,-0.05,Wrong
48222,0.92,-0.79,1.46,0.12,0.14,0.99,Wrong
48541,0.79,-0.67,1.53,0.13,0.43,0.89,Correct
48646,1.16,-2.14,1.16,-0.07,0.87,0.45,Correct
49000,0.61,-0.49,1.65,0.13,0.97,-0.06,Wrong
49222,0.79,-0.43,1.53,0.12,0.14,0.99,Wrong
49541,0.73,-0.79,1.4,0.13,0.43,0.89,Correct
49646,2.5,-1.83,1.53,-0.08,0.87,0.47,Correct
50000,0.61,-0.79,1.1,0.13,0.97,-0.05,Wrong
50222,0.61,-0.73,1.34,0.12,0.14,0.99,Wrong
50541,0.79,-0.67,1.59,0.13,0.43,0.89,Correct
50646,0.31,5.37,2.14,-0.06,0.87,0.45,Correct
51000,0.55,-0.73,1.46,0.13,0.97,-0.05,Wrong
51222,0.92,-0.73,1.53,0.12,0.14,0.99,Wrong
51541,0.61,-0.67,1.53,0.13,0.43,0.89,Correct
51646,1.71,3.54,0.92,-0.02,0.88,0.47,Correct
52000,0.79,-0.79,1.4,0.12,0.97,-0.06,Wrong
52222,0.92,-0.79,1.71,0.12,0.14,0.99,Wrong
52531,0.85,-0.79,1.59,0.11,0.1,1,Wrong
52541,0.73,-1.04,1.28,0.13,0.43,0.89,Correct
52646,1.04,-2.14,1.95,-0.03,0.87,0.49,Correct
53000,0.73,-0.43,1.53,0.12,0.97,-0.05,Wrong
53222,0.79,-0.85,1.4,0.12,0.14,0.99,Wrong
53531,0.73,-0.79,1.83,0.11,0.09,1,Wrong
53541,1.04,-0.49,1.46,0.13,0.43,0.9,Correct
53646,0.85,-1.4,1.34,-0.04,0.87,0.46,Correct
54000,0.73,-0.73,1.59,0.13,0.97,-0.06,Wrong
54222,0.85,-0.73,1.46,0.12,0.14,0.99,Wrong
54531,0.73,-0.98,1.28,0.11,0.1,1,Wrong
54541,0.85,-0.55,1.46,0.12,0.43,0.89,Correct
54646,1.1,-0.73,1.53,-0.05,0.87,0.46,Correct
55000,0.49,-0.67,1.16,0.12,0.97,-0.05,Wrong
55222,0.92,-0.73,1.46,0.12,0.14,0.99,Wrong
55531,0.73,-0.67,1.65,0.11,0.09,1,Wrong
55541,0.92,-0.79,1.16,0.13,0.43,0.89,Correct
55646,0.61,-0.61,1.53,-0.05,0.87,0.47,Correct
56000,0.73,-0.73,1.71,0.12,0.97,-0.06,Wrong
56222,0.67,-0.73,1.46,0.12,0.14,0.99,Wrong
56531,0.61,-0.98,1.34,0.11,0.1,1,Wrong
56541,1.04,-0.92,1.34,0.13,0.43,0.89,Correct
56646,0.98,-0.85,1.71,-0.05,0.87,0.47,Correct
57000,0.85,-0.55,1.53,0.12,0.97,-0.06,Wrong
57222,0.61,-0.85,1.46,0.12,0.14,0.99,Wrong
57531,0.85,-0.85,1.59,0.11,0.09,1,Wrong
57541,0.98,-0.98,1.4,0.13,0.43,0.89,Correct
57646,1.04,-0.37,1.46,-0.05,0.87,0.46,Correct
58000,0.98,-0.92,1.46,0.13,0.97,-0.06,Wrong
58222,0.98,-0.73,1.65,0.12,0.14,0.99,Wrong
58531,0.79,-0.73,1.65,0.11,0.1,1,Wrong
58541,0.73,-0.61,1.46,0.13,0.43,0.9,Correct
58646,0.98,-0.24,1.4,-0.05,0.87,0.46,Correct
59000,0.55,-0.98,1.04,0.12,0.97,-0.06,Wrong
59222,0.79,-0.85,1.59,0.12,0.14,0.99,Wrong
59531,0.85,-0.92,1.65,0.11,0.1,1,Wrong
59541,0.73,-0.31,1.46,0.12,0.43,0.89,Correct
59646,0.55,-0.18,1.83,-0.04,0.87,0.46,Correct
60000,0.92,-0.24,1.65,0.12,0.97,-0.05,Wrong
60222,0.98,-0.85,1.53,0.12,0.14,0.99,Wrong
60531,0.85,-1.1,1.53,0.11,0.09,1,Wrong
60541,0.79,-0.67,1.4,0.13,0.43,0.9,Correct
60646,1.34,-0.79,1.71,-0.05,0.87,0.47,Correct
61000,0.67,-0.31,1.46,0.13,0.97,-0.05,Wrong
61222,0.79,-0.85,1.34,0.12,0.14,0.99,Wrong
61531,0.98,-0.79,1.89,0.11,0.09,1,Wrong
61541,0.79,-0.85,1.34,0.13,0.43,0.89,Correct
61646,0.79,-0.49,1.71,-0.04,0.87,0.46,Correct
62000,0.49,-0.12,1.77,0.13,0.97,-0.05,Wrong
62222,0.79,-0.85,1.77,0.12,0.14,0.99,Wrong
62531,0.73,-0.55,1.83,0.11,0.1,1,Wrong
62541,0.92,-0.73,1.16,0.13,0.43,0.89,Correct
62646,0.92,-1.1,1.59,-0.05,0.87,0.46,Correct
63000,0.31,-0.61,1.4,0.12,0.97,-0.05,Wrong
63222,0.73,-0.92,1.65,0.12,0.14,0.99,Wrong
63531,1.04,-0.67,1.71,0.11,0.09,1,Wrong
63541,0.92,-0.55,1.34,0.12,0.43,0.89,Correct
63646,0.85,-1.22,1.4,-0.04,0.87,0.46,Correct
64000,0.67,0.43,1.4,0.12,0.97,-0.05,Wrong
64222,0.79,-0.61,1.4,0.12,0.14,0.99,Wrong
64531,0.92,-0.85,1.95,0.11,0.09,1,Wrong
64541,0.98,-0.79,1.46,0.13,0.43,0.89,Correct
64646,0.43,-1.53,1.34,-0.05,0.87,0.46,Correct
65000,0.73,-0.98,1.4,0.12,0.97,-0.05,Wrong
65222,0.79,-0.73,1.46,0.12,0.14,0.99,Wrong
65531,0.73,-0.73,1.59,0.11,0.09,1,Wrong
65541,0.79,-0.79,1.46,0.13,0.43,0.89,Correct
65646,0.24,-0.61,1.65,-0.04,0.88,0.46,Correct
66000,0.67,-1.16,1.34,0.12,0.97,-0.06,Wrong
66222,0.85,-0.73,1.59,0.12,0.14,0.99,Wrong
66531,0.85,-0.85,1.83,0.11,0.09,1,Wrong
66541,0.67,-1.04,1.53,0.13,0.43,0.89,Correct
66646,0.67,-0.31,1.65,-0.05,0.87,0.46,Correct
67000,0.85,-0.49,1.46,0.12,0.97,-0.06,Wrong
67222,0.85,-0.55,1.46,0.12,0.14,0.99,Wrong
67531,0.61,-0.55,1.53,0.11,0.1,1,Wrong
67541,0.73,-0.98,1.34,0.12,0.43,0.89,Correct
